Dimension_0,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9
-0.4614247,-0.18877451,0.22188134,-0.13514139,-0.18534215,0.49671584,-0.11826843,0.13267522,0.1917459,0.57837856
0.049167152,-0.4190912,-0.041092888,0.35082698,-0.6907849,0.115125544,-0.301519,-0.27620623,0.18341398,0.0767789
-0.27764744,0.2775021,0.23665918,-0.3712194,0.18723764,0.1531514,0.07796306,0.6004014,0.30971077,0.36207566
-0.41010284,0.21794118,-0.1050588,-0.30919316,0.66889447,0.12627135,0.29735723,-0.03726077,-0.19355395,0.29502985
0.30661818,-0.39608774,-0.43085307,0.29470348,-0.40137866,0.13438581,-0.006481121,-0.31670603,-0.20661221,-0.3929602
-0.2846757,-0.07964193,0.3101636,0.026563482,0.58869714,-0.43703258,-0.040150322,-0.4624365,0.050112817,0.24531046
0.07264416,-0.22119957,0.510039,0.14749011,0.00024833667,-0.576112,-0.24676663,0.005770644,0.4856544,-0.18763863
0.2519262,-0.028146338,0.03334641,0.13394961,-0.8174851,0.04034047,-0.22589011,0.25925732,0.27727237,-0.22728077
-0.06956986,0.5904686,-0.23177762,-0.33558097,0.5203903,-0.051738456,0.31323257,0.065557346,-0.31762365,0.058234323
0.49096692,0.16620952,-0.24980345,0.093948714,-0.57293355,-0.07332428,-0.012603884,0.16472585,-0.019534947,-0.54661983
-0.32391062,0.16596504,0.2136342,0.10889884,-0.2936598,-0.0021633562,-0.21512246,-0.09945344,0.22551353,0.7853492
0.1469719,-0.00286754,0.1467318,-0.05347088,-0.68414026,0.14963593,-0.17437471,0.53327876,0.32264602,-0.21135214
0.4498088,-0.1278686,-0.3317593,0.2755023,-0.57801485,-0.028635321,-0.05106362,-0.1419646,-0.09025857,-0.4790894
-0.46355647,-0.214596,0.18861051,-0.1698789,-0.15572438,0.55011135,-0.08994424,0.16481489,0.1705775,0.53236085
0.01290564,-0.48032376,-0.10788431,0.41007447,-0.2236922,-0.06698532,-0.21874852,-0.6859178,-0.043391395,0.120747894
-0.48765376,-0.42463323,0.30499637,0.055928588,0.36363828,-0.025855204,-0.093236335,-0.32254642,0.25297198,0.4196478
-0.53090876,0.035306055,0.08168012,0.031221908,0.314473,0.016100416,0.023543578,-0.32798058,0.060416706,0.705914
-0.3639447,0.35384363,0.26222277,-0.2490178,0.09868821,0.058554564,-0.0012053801,0.36424026,0.2870799,0.61912286
-0.3572022,0.5019461,0.046849553,-0.2098326,0.010120242,0.14646734,0.05185887,0.21218835,0.038411904,0.70956904
-0.43860647,0.0053137364,0.10718462,-0.4093492,0.23858517,0.5522957,0.17313555,0.38640502,0.020289388,0.2947726
